date,reseau,solar
2020-11-23,35118.0,40049
2020-11-24,35130.0,40055
2020-11-25,35138.6,40063
2020-11-26,35150.0,40067
2020-11-27,35165.6,40074
2020-11-28,35184.2,40076
2020-11-29,35193.4,40082
2020-11-30,35208.2,40083
2020-12-01,35226.5,40084
2020-12-02,35239.2,40086
2020-12-03,35253.9,40087
2020-12-04,35268.8,40087
2020-12-05,35282.3,40090
2020-12-06,35297.9,40093
2020-12-07,35312.9,40095
2020-12-08,35327.0,40097
2020-12-09,35337.0,40102
2020-12-10,35351.0,40103
2020-12-11,35370.0,40106
2020-12-12,35387.3,40108
2020-12-13,35407.1,40112
2020-12-14,35419.0,40113
2020-12-15,35441.0,40115
2020-12-16,35453.1,40116
2020-12-17,35461.2,40123
2020-12-18,35476.6,40129
2020-12-19,35487.0,40131
2020-12-20,35502.0,40134
2020-12-21,35513.1,40135
2020-12-22,35526.0,40135
2020-12-23,35538.0,40137
2020-12-24,35552.4,40138
2020-12-25,35564.1,40140
2020-12-26,35576.1,40143
2020-12-27,35588.1,40145.5
2020-12-28,35600.0,40148
2020-12-29,35612,40149
2020-12-30,35625.0,40151
2021-02-11,36138.0,40254
2021-04-12,36324.0,41096
2021-05-09,36144.0,41627
